"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"NFYB",2.93608312107452e-07,0.396191712276917,0.977,0.693,0.00310167820910312,"1","NFYB"
"FAM47E-STBD1",2.97982497565741e-07,0.452278603224897,0.977,0.72,0.00314788710428449,"1","FAM47E-STBD1"
"MAPKAPK2",2.98798257691857e-07,0.51920597303421,0.955,0.775,0.00315650479425678,"1","MAPKAPK2"
"TPM2",2.98892580019583e-07,0.450106226288249,0.92,0.537,0.00315750121532687,"1","TPM2"
"ATP6V1C2",2.99247576496242e-07,0.504530325976501,1,0.94,0.0031612513981063,"1","ATP6V1C2"
"MAP2K5",2.99311684548442e-07,0.357439998296304,0.966,0.578,0.00316192863556974,"1","MAP2K5"
"RAB3IP",2.99821755866958e-07,0.322069615999648,0.955,0.748,0.00316731702897854,"1","RAB3IP"
"CFAP298-TCP10L",3.0068204215361e-07,0.515916958299703,0.966,0.798,0.00317640509331074,"1","CFAP298-TCP10L"
"C2CD5",3.01288709092518e-07,0.435565054302568,0.989,0.725,0.00318281392285336,"1","C2CD5"
"FOXP4",3.01826285742379e-07,0.565902594062143,0.92,0.67,0.00318849288258249,"1","FOXP4"
"SFT2D2",3.01835085148028e-07,0.438101344679382,1,1,0.00318858583950377,"1","SFT2D2"
"POLR1H",3.02286607301028e-07,0.613992750978737,0.966,0.628,0.00319335571952806,"1","POLR1H"
"ASH2L",3.02971706611643e-07,0.554426707235335,0.989,0.789,0.0032005931086454,"1","ASH2L"
"STAU1",3.04128180417251e-07,0.423413860603772,1,0.991,0.00321281009792784,"1","STAU1"
"MAP4K2",3.0473587497859e-07,0.486579316426769,0.864,0.56,0.00321922978327382,"1","MAP4K2"
"IFI35",3.05278202050729e-07,0.512603609174741,0.977,0.794,0.00322495892646391,"1","IFI35"
"BAG5",3.05448358606242e-07,0.527628910524835,0.989,0.917,0.00322675646031634,"1","BAG5"
"KRT15",3.05526546062751e-07,0.618773491023947,0.795,0.399,0.0032275824326069,"1","KRT15"
"IMMP1L",3.07126021725779e-07,0.275541007280398,1,0.794,0.00324447929351113,"1","IMMP1L"
"ERCC3",3.08374044744042e-07,0.471088412868105,0.966,0.844,0.00325766340867606,"1","ERCC3"
"DDX39A",3.08718460129143e-07,0.431661224400368,1,0.968,0.00326130181280426,"1","DDX39A"
"DCAF13",3.11103545369562e-07,0.53459220938487,1,0.982,0.00328649785328405,"1","DCAF13"
"TLCD2",3.11521783036284e-07,0.260423150542906,0.807,0.445,0.0032909161159953,"1","TLCD2"
"ARHGAP44",3.12485378017868e-07,0.682621788059248,0.455,0.17,0.00330109553338076,"1","ARHGAP44"
"ARHGEF7",3.12891514475666e-07,0.528435735773701,0.989,0.853,0.00330538595892094,"1","ARHGEF7"
"ZNF611",3.14832006242938e-07,0.605031209879512,0.92,0.748,0.00332588531395039,"1","ZNF611"
"PNKD",3.15245072490811e-07,0.506463901899681,1,0.927,0.00333024894579292,"1","PNKD"
"H3C12",3.16637923880592e-07,0.845140046352163,0.784,0.367,0.00334496302787457,"1","H3C12"
"ADGRF3",3.18167793444957e-07,0.601233692244507,0.682,0.289,0.00336112456995252,"1","ADGRF3"
"ZNF160",3.18972659396621e-07,0.509587929289564,0.977,0.697,0.00336962717386591,"1","ZNF160"
"NRIP1",3.19412126303931e-07,0.390483890076562,0.886,0.509,0.00337426970227472,"1","NRIP1"
"KAT6A",3.19564453343801e-07,0.41549735375253,1,0.844,0.00337587888512392,"1","KAT6A"
"HOXB3",3.2482095280173e-07,0.513783129816711,0.909,0.628,0.00343140854539747,"1","HOXB3"
"CELSR1",3.29511762986456e-07,0.540398223188872,0.966,0.761,0.00348096226418892,"1","CELSR1"
"SCNN1A",3.30714548857358e-07,0.761601565683915,0.864,0.661,0.00349366849412913,"1","SCNN1A"
"DYNLL2",3.32116972590057e-07,0.464069880816214,0.966,0.679,0.00350848369844137,"1","DYNLL2"
"ZNF484",3.34205433549783e-07,0.478400201449436,0.864,0.463,0.00353054620001991,"1","ZNF484"
"CKAP5",3.34281730962616e-07,0.438682409185351,0.989,0.821,0.00353135220588907,"1","CKAP5"
"PPP1R12C",3.34281730962616e-07,0.464480128062111,0.966,0.83,0.00353135220588907,"1","PPP1R12C"
"ASTE1",3.38307700298301e-07,0.352516314101987,0.932,0.569,0.00357388254595126,"1","ASTE1"
"ZNF7",3.39294859985628e-07,0.475176783202833,1,0.867,0.00358431090088818,"1","ZNF7"
"FAM120B",3.40709781498916e-07,0.434664223815122,0.966,0.665,0.00359925813175455,"1","FAM120B"
"CRIP1",3.41739147646791e-07,0.511880165527273,0.966,0.661,0.0036101323557407,"1","CRIP1"
"NGRN",3.43149704207235e-07,0.492929314879326,1,0.968,0.00362503347524523,"1","NGRN"
"DNASE1",3.46179600319019e-07,0.464077647803,1,0.858,0.00365704129777011,"1","DNASE1"
"ZNF318",3.46564573927566e-07,0.381574091135044,0.955,0.615,0.0036611081589708,"1","ZNF318"
"PAQR6",3.46628921121805e-07,0.283788563053136,0.807,0.463,0.00366178792273075,"1","PAQR6"
"SEPHS1",3.47182215199027e-07,0.512841709712394,0.966,0.798,0.00366763292136252,"1","SEPHS1"
"SUZ12",3.48555727391897e-07,0.831485474148581,0.966,0.858,0.003682142704168,"1","SUZ12"
"PPP1R9B",3.50369234292103e-07,0.417997693438916,0.784,0.399,0.00370130059106177,"1","PPP1R9B"
"RPS5",3.51051189895202e-07,0.307397710059643,1,1,0.00370850477005291,"1","RPS5"
"RAD18",3.52911027068359e-07,0.393305430049662,0.977,0.674,0.00372815208995014,"1","RAD18"
"ZFYVE9",3.54451946904533e-07,0.501802460903654,0.83,0.495,0.00374443036709948,"1","ZFYVE9"
"PITPNM3",3.54971760430089e-07,0.531825232002735,0.773,0.417,0.00374992167718347,"1","PITPNM3"
"CCDC117",3.55210040714482e-07,0.368894222149148,0.989,0.702,0.00375243887010779,"1","CCDC117"
"TACC3",3.55436092114303e-07,0.289872054336033,0.966,0.67,0.0037548268770955,"1","TACC3"
"DYNLT1",3.56258426537082e-07,0.399331249752684,1,0.959,0.00376351401793773,"1","DYNLT1"
"COX6C",3.56378643262545e-07,0.664080099010853,1,1,0.00376478398742552,"1","COX6C"
"RHBDF2",3.56551634883573e-07,0.686234198419139,0.716,0.376,0.00376661147091006,"1","RHBDF2"
"CFAP73",3.57317656352052e-07,0.515062436153647,0.955,0.661,0.00377470372170308,"1","CFAP73"
"KPNA3",3.58292238988867e-07,0.513663879046214,1,0.812,0.00378499921267839,"1","KPNA3"
"PSMD3",3.5905137019121e-07,0.43092445179606,1,0.977,0.00379301867469994,"1","PSMD3"
"LEMD3",3.59213145451065e-07,0.579651814224022,0.989,0.807,0.00379472766854505,"1","LEMD3"
"TMEM216",3.60746039484994e-07,0.532500774536083,0.886,0.523,0.00381092116111947,"1","TMEM216"
"PHC1",3.60885124672805e-07,0.502968446264365,0.955,0.693,0.00381239045704351,"1","PHC1"
"SH3GL1",3.66800081863516e-07,0.489534405425442,1,0.936,0.00387487606480619,"1","SH3GL1"
"USP7",3.69046490922287e-07,0.632592618524207,0.989,0.894,0.00389860713010304,"1","USP7"
"PRELID3B",3.70040899921875e-07,0.514289588779318,1,0.995,0.00390911206677469,"1","PRELID3B"
"NAA40",3.70751940703684e-07,0.508348160874106,0.955,0.624,0.00391662350159372,"1","NAA40"
"MRPL36",3.72708005791367e-07,0.436696772107814,0.989,0.963,0.00393728737318,"1","MRPL36"
"HIRA",3.7812311348695e-07,0.369919929308184,0.943,0.624,0.00399449257087614,"1","HIRA"
"ZFYVE19",3.78139048518022e-07,0.48829335424477,0.977,0.729,0.00399466090854439,"1","ZFYVE19"
"ASAH1",3.80299387758853e-07,0.319156420503152,1,0.872,0.00401748273228453,"1","ASAH1"
"STK11",3.82150192823616e-07,0.454394906012337,0.977,0.702,0.00403703463698868,"1","STK11"
"CAMSAP1",3.85198662078423e-07,0.443558912912442,0.92,0.651,0.00406923866619646,"1","CAMSAP1"
"MICALL2",3.86414398700907e-07,0.463392355802912,0.977,0.775,0.00408208170787638,"1","MICALL2"
"SLC39A3",3.86465127455438e-07,0.498797575949101,1,0.876,0.00408261760643924,"1","SLC39A3"
"UBQLN1",3.90020133966829e-07,0.374497943190771,1,1,0.00412017269522558,"1","UBQLN1"
"FANCA",3.93766564465992e-07,0.465773427961132,1,0.761,0.00415974998701873,"1","FANCA"
"TAF1",3.93846920632157e-07,0.31059877167524,0.966,0.651,0.00416059886955811,"1","TAF1"
