"gene","logFC_hyp","logFC_circ","score"
"PPP1R42",1.81118073241387,0.204363909243015,2.01554464165688
"PROSER2",1.16934751920355,0.843510124026259,2.01285764322981
"RAPGEF2",1.30737853087632,0.705339929569,2.01271846044532
"SHQ1",-1.84494352526032,-0.164510621947615,2.00945414720793
"NKRF",1.91852404437769,0.090867803342917,2.00939184772061
"TRIM5",1.57586016972723,0.433225152083356,2.00908532181059
"CREG2",-0.380360237156937,-1.62834215197243,2.00870238912937
"ZNF224",1.68659260375342,0.319890963759478,2.0064835675129
"QRSL1",1.9476694596075,0.0565557706349429,2.00422523024244
"CASKIN2",-1.57919282040238,-0.424082838974631,2.00327565937701
"YPEL2",0.352330598384322,1.64716902914252,1.99949962752684
"TAPBPL",1.87543191463739,0.122662423531673,1.99809433816906
"MED26",1.41766224771473,0.576948957819637,1.99461120553437
"MTHFSD",-1.78779548304726,-0.204659393773143,1.99245487682041
"NDRG1",1.32218984148453,0.669908991531534,1.99209883301607
"ZNF750",1.88527958627547,0.099651230522487,1.98493081679796
"TEP1",-1.4358917281847,-0.54571074349539,1.98160247168009
"GPAM",-1.72353677632179,-0.257034343927729,1.98057112024952
"NSMF",1.65730383087363,0.321977445758239,1.97928127663187
"SIAE",1.84348776181318,0.134903940818475,1.97839170263165
"EIF4E3",1.57203702433539,0.404403566516687,1.97644059085207
"JPH1",0.483983463432887,1.48572044455661,1.9697039079895
"ALMS1",1.59550891967102,0.368766543078934,1.96427546274995
"KLHL25",-1.27547862950403,-0.684407295907711,1.95988592541174
"C6orf47",-1.73423068176184,-0.224932275107792,1.95916295686964
"EEFSEC",1.85417844242788,0.103407418122455,1.95758586055033
"LGR4",1.50359968615362,0.453695061095817,1.95729474724943
"PPM1J",1.69141439715197,0.264623577757024,1.95603797490899
"QSOX2",-1.82789145087913,-0.125823399931114,1.95371485081025
"ZC3H10",1.86638386114221,0.08467138415853,1.95105524530074
"MIPOL1",1.52369188577963,0.42501412736515,1.94870601314478
"NF1",1.58914454551957,0.358645228128073,1.94778977364765
"LIPT1",1.90201977816522,0.0454916838044763,1.9475114619697
"SLC4A11",1.87724302680043,0.0700519496958254,1.94729497649626
"DAB2IP",-1.86114117881056,-0.0859179563637951,1.94705913517436
"ZNF256",1.72788734108799,0.213782125813204,1.9416694669012
"APOLD1",-1.81688976485742,-0.117231027033282,1.9341207918907
"GPR107",-1.83702579734282,-0.0970646199307978,1.93409041727361
"PATJ",1.61555400390884,0.317499787174295,1.93305379108314
"SIX5",-1.30231608686795,-0.629563223264572,1.93187931013252
"RORC",1.88361931407882,0.0432141096790648,1.92683342375788
"ATXN7L3",-1.87453368092359,-0.0520683549434087,1.926602035867
"LDAH",1.86274672155615,0.0633806158720005,1.92612733742815
"ADGRB2",-1.13579302204305,-0.789234214957984,1.92502723700104
"OTULIN",1.57820922789198,0.346122781443962,1.92433200933594
"MAPKAPK2",-1.88209119191296,-0.0361198292732059,1.91821102118617
"SEMA6A",-0.563947657837776,-1.35369298284125,1.91764064067902
"ZNF449",-1.90172794347528,-0.0156541213481052,1.91738206482339
"PTPN4",1.53902634462631,0.378279775851655,1.91730612047797
"ZNF202",-1.42765003494374,-0.487322659121524,1.91497269406526
"CCDC149",1.62309366970052,0.287832856588744,1.91092652628927
"POU2F3",-1.82720012400751,-0.0828354429842042,1.91003556699171
"RNFT1",1.77686142901601,0.132106954054333,1.90896838307035
"FAM171B",1.05654140796447,0.850767697500093,1.90730910546457
"B3GALT4",1.88520793972987,0.0192322056431644,1.90444014537304
"SNX16",-1.57800983829617,-0.326074837040646,1.90408467533681
"LRRC20",1.54892350285577,0.355159888339841,1.90408339119561
"POLR3B",1.58507203303812,0.316724931218256,1.90179696425638
"QNG1",-1.48482840515083,-0.415768694639811,1.90059709979064
"DENND5B",1.61157012039261,0.287110390288894,1.89868051068151
"AMN",1.19516200734909,0.69711610418046,1.89227811152955
"CATSPERG",1.69224107001361,0.198603197019812,1.89084426703342
"UTP14C",1.70395445524922,0.184160676480787,1.88811513173
