"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_INFLAMMATORY_RESPONSE",0.0990629183400268,0.29718875502008,0.161978948883402,0.374696353960561,1.30383369870752,77,"RNF144B;TNFSF10;GPC3;CD14;EDN1;NAMPT;ABCA1;TNFRSF1B;MXD1;TAPBP;SLC1A2;BEST1;RASGRP1;AHR;FFAR2;IFITM1;P2RX4;MYC;LY6E;BST2;IL4R;ATP2C1;BTG2;PVR;HIF1A;NOD2;IRF7;RIPK2"
"HALLMARK_ANDROGEN_RESPONSE",0.136125654450262,0.37280701754386,0.134273452883202,0.353365906436726,1.24480644516899,82,"TMPRSS2;HOMER2;PTK2B;SELENOP;DNAJB9;SCD;ARID5B;NDRG1;PMEPA1;CAMKK2;ZBTB10;APPBP2;ACSL3;SEC24D;KRT19;ELL2;CDC14B;H1-0;MAP7"
"HALLMARK_APICAL_SURFACE",0.225308641975309,0.485106382978723,0.110564716336619,0.450486442837158,1.2060968401655,20,"CD160;TMEM8B;GATA3;ATP8B1;CRYBG1;EPHB4;LYPD3;BRCA1;APP;ADIPOR2"
"HALLMARK_P53_PATHWAY",0.138888888888889,0.37280701754386,0.12384217120105,0.313006265822626,1.20411306586321,166,"VDR;ABCC5;CDKN2A;ADA;TP53;SESN1;OSGIN1;CYFIP2;IER3;TRIB3;FOXO3;CDKN2B;TSPYL2;SOCS1;NDRG1;KLF4;MXD1;NOTCH1;STOM;COQ8A;RALGDS;TPD52L1;SERPINB5;MKNK2;STEAP3;RAD9A;NUPR1;RAP2B;INHBB;FAM162A;CCNK;CTSF;NINJ1;FUCA1;GM2A;BTG2;PLK3;ATF3;WRAP73;RHBDF2;APP;EPHX1;SDC1;ZFP36L1"
"HALLMARK_KRAS_SIGNALING_UP",0.2237017310253,0.485106382978723,0.101713902282311,0.335756160896769,1.17317800579936,79,"LCP1;CTSS;CBR4;CBX8;KIF5C;AKT2;CA2;GALNT3;KLF4;TNFRSF1B;MPZL2;USP12;TRAF1;JUP;ADAM8;TSPAN13;CCSER2;ATG10;ERO1A;MAP7;ZNF639;SOX9;TRIB1;FUCA1"
"HALLMARK_FATTY_ACID_METABOLISM",0.237797246558198,0.485106382978723,0.0943563635421779,0.310803389576529,1.14758027869192,118,"EHHADH;IL4I1;LTC4S;CYP1A1;CA2;METAP1;PPARA;IDH1;ME1;REEP6;CD36;UBE2L6;ENO3;SLC22A5;CPT2;HSPH1;ALDOA;HSD17B4;ACSS1;HIBCH"
"HALLMARK_ADIPOGENESIS",0.236175115207373,0.485106382978723,0.0899860794997137,0.29598869105464,1.14070422443094,167,"CCNG2;LTC4S;MAP4K3;IFNGR1;BCL6;DNAJB9;PDCD4;ABCA1;IDH1;ME1;REEP6;SOWAHC;CD36;BCL2L13;STOM;GPHN;CPT2;MIGA2;ALDOA;HIBCH;SQOR;BAZ2A;ADCY6;SLC27A1;DHRS7;PFKL;ECH1;SLC5A6;POR;SLC66A3;NKIRAS1;AIFM1;PFKFB3;CD302;MTARC2;ESRRA;TKT;ADIPOR2;HADH;SCARB1;COQ5;PEX14;MCCC1;STAT5A"
"HALLMARK_COMPLEMENT",0.28957528957529,0.546975546975547,0.0847985102819124,0.306331552873458,1.10736512572122,104,"PDGFB;CBLB;CTSS;PCLO;GATA3;DOCK9;CA2;LRP1;APOC1;ME1;CPM;CD36;AKAP10;RASGRP1;IRF2;CTSH;PDP1;KYNU;CLU;PREP;PIK3CA;CSRP1;CTSC;S100A9;LAMP2"
"HALLMARK_ALLOGRAFT_REJECTION",0.318181818181818,0.559561128526646,0.0817515582532145,0.319320432220516,1.10005671431441,72,"CDKN2A;CTSS;IFNGR1;SOCS1;TAPBP;CSK;GBP2;HLA-A;PSMB10;INHBB;NCK1;IL4R;BRCA1;HIF1A;TAP2;IFNAR2;IRF7;RIPK2;DARS1;DEGS1;IFNGR2;IKBKB;BCL3;WARS1;IL16;ABCE1;B2M;RARS1;TGFB2;PTPN6"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.315468940316687,0.559561128526646,0.077274697304471,0.294363491031684,1.0987817900529,132,"VEGFA;DUSP2;BCL6;NFIL3;EDN1;IER3;NAMPT;SLC16A6;ABCA1;KLF4;IFIH1;MXD1;FUT4;PMEPA1;ZC3H12A;IL6ST;TRAF1;ZBTB10;AREG;MAP3K8;CCNL1;SQSTM1;KYNU;MYC;EGR2;CEBPD;TRIB1;NINJ1;BTG2;ATF3;PFKFB3;RCAN1"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.335078534031414,0.569633507853403,0.0778840111977068,0.310094902046787,1.09237514330208,82,"DAPP1;VAV3;PIK3R3;PDK1;PLA2G12A;TRIB3;ACACA;MAP2K6;IRAK4;PIKFYVE;SMAD2;MKNK2;SQSTM1;NCK1;TSC2;MAPK10;NFKBIB;GSK3B;ARF1"
