"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RAB27B",0.0238120912024209,3.11499754121682,0.714,0.25,1
"RELL2",0.0240346287124755,1.47828312515297,0.786,0.5,1
"SEC31B",0.0240346287124755,2.11724452128045,0.786,0.5,1
"DGLUCY",0.0241493701033899,1.35239677836283,1,0.875,1
"DUSP2",0.0241879060469765,4.23044888915791,0.429,0.125,1
"ANK3",0.0242743574892981,2.19887368440421,0.929,0.75,1
"TRIM3",0.0242838745745806,2.56977432916348,0.857,0.5,1
"MCM2",0.0244909674505711,1.01021004758549,1,0.812,1
"TMEM62",0.0244909674505711,0.904181975592086,1,0.812,1
"PTPN13",0.0245009658913233,4.76855587301512,0.643,0.5,1
"CHMP1B",0.0245420186363647,0.637466342343513,1,0.938,1
"AP3D1",0.0245420186363647,0.903693843704662,1,1,1
"BROX",0.0245420186363647,0.71790752358023,1,1,1
"CCT8",0.0245420186363647,0.523077269013895,1,1,1
"MYNN",0.0245420186363647,0.5524319216896,1,1,1
"NAMPT",0.0245420186363647,1.55043650103,1,1,1
"NIBAN1",0.0245420186363647,0.651002693928795,1,1,1
"TIMM10B",0.0245420186363647,0.871187275538658,1,1,1
"ARHGAP45",0.0248655445239196,1.33072586992168,0.929,0.688,1
"C1orf198",0.0249346671693393,1.01599559034834,0.929,0.938,1
"MAML3",0.0252442199952656,2.80696774830734,0.643,0.25,1
"PTGFRN",0.0255542129176209,2.88347556441298,0.643,0.312,1
"PAIP2B",0.0256434149626252,1.18137675791165,0.929,0.5,1
"NOP9",0.0256434149626252,1.65874619965212,0.857,0.562,1
"SMCR8",0.0256434149626252,0.715263549633611,0.857,0.562,1
"ZNF836",0.0256434149626252,1.56986825230178,0.857,0.562,1
"ATP9A",0.0261498834346157,1.58558550692079,1,0.625,1
"LMAN2L",0.0261498834346157,1.02450879934965,1,0.625,1
"ZNF337",0.0261498834346157,1.76124647751156,0.857,0.75,1
"ALG6",0.026611585847943,0.807791009002172,1,0.75,1
"COQ8A",0.026611585847943,1.02531737495643,1,0.75,1
"TEAD3",0.026611585847943,1.28157054841953,0.857,0.875,1
"UBR3",0.0266612892384217,0.383451174169032,0.929,0.625,1
"CES4A",0.0266612892384217,1.92434029647137,0.857,0.688,1
"SYNJ1",0.0269280839456432,1.6684201700704,0.929,0.562,1
"RARA",0.0269994345792359,1.39713970082193,0.857,0.438,1
"COL27A1",0.0270681721402801,2.13775506481715,1,0.875,1
"F11R",0.0270681721402801,0.863022332526773,1,0.875,1
"NEK6",0.0270681721402801,1.01651029240961,1,0.875,1
"UBFD1",0.0270681721402801,0.943013149307931,1,0.875,1
"C11orf52",0.0271885110076542,2.83050589282924,0.571,0.25,1
"TICAM1",0.0272192764986616,0.865622479559966,1,0.688,1
"GDPD1",0.0272192764986616,2.48169894794658,0.929,0.75,1
"CCDC149",0.0272422027720229,1.62309366970052,0.857,0.5,1
"LDOC1",0.0272422027720229,1.82276741256953,0.857,0.5,1
"CPEB4",0.0274570248415524,1.24487253777697,1,0.812,1
"MMUT",0.0274570248415524,1.04140475829817,1,0.812,1
"ZNF107",0.0274570248415524,0.749744750449042,1,0.812,1
"PLA2G12A",0.0275127382988932,1.67761922189197,0.929,1,1
"ACACA",0.0275127382988932,1.2361296280145,1,0.938,1
"ADSS2",0.0275127382988932,0.715302755293812,1,0.938,1
"CHERP",0.0275127382988932,1.1631497875187,1,0.938,1
"KLHL8",0.0275127382988932,1.34633851333674,1,0.938,1
"LAGE3",0.0275127382988932,0.738029887932825,1,0.938,1
"UTP14C",0.0275127382988932,1.70395445524922,1,0.938,1
"AHR",0.0275127382988932,0.984414548232104,1,1,1
"ANKRD10",0.0275127382988932,1.51489015557572,1,1,1
"BTF3L4",0.0275127382988932,0.593186505557709,1,1,1
"CDK5RAP3",0.0275127382988932,0.357254026548322,1,1,1
"DBN1",0.0275127382988932,1.19747377632183,1,1,1
"ECHDC2",0.0275127382988932,0.981437416509956,1,1,1
"FTH1",0.0275127382988932,0.427392189785504,1,1,1
"RAB13",0.0275127382988932,0.694191192919435,1,1,1
"SERHL2",0.0275127382988932,1.63086264007415,1,1,1
"SLC25A45",0.0275127382988932,1.19887730152992,1,1,1
"SQSTM1",0.0275127382988932,0.830904579520951,1,1,1
"WTIP",0.0275127382988932,1.58514517854525,1,1,1
"WARS2",0.0278651592676313,0.856890091634645,0.929,0.688,1
"HNRNPUL2-BSCL2",0.0280970625798211,2.12557545210955,0.357,0.062,1
"TSSK3",0.0280970625798211,4.69158638969822,0.357,0.062,1
"DNAAF19",0.0280970625798214,4.85884798458357,0.357,0,1
"PDZRN3",0.0280970625798214,4.00896105044221,0.357,0,1
"ZNF691",0.0280970625798214,5.58457681095434,0.357,0,1
"AJM1",0.0286090872692308,1.48004782136104,0.643,0.25,1
"HARBI1",0.0287393558122899,1.62407355804313,0.857,0.562,1
"NOSTRIN",0.0287393558122899,1.32369264805205,0.857,0.562,1
"FN3K",0.0297776808190333,1.29974493027603,1,0.75,1
"PGGHG",0.0298472298078687,0.815645444451886,1,0.562,1
"MAMSTR",0.030084730596518,0.831654226391109,0.714,0.25,1
"ZNF251",0.0302526411372916,2.2592457871318,0.786,0.5,1
"DNAJA3",0.0302760762721495,0.740258925043771,1,0.875,1
"DTWD1",0.0302760762721495,1.04724517944934,1,0.875,1
"DZANK1",0.0302760762721495,1.26564450608889,1,0.875,1
"IL4R",0.0302760762721495,0.726173128460852,1,0.875,1
"KLF4",0.0302760762721495,1.30834514278727,1,0.875,1
"CD24",0.0304561032177411,2.93008959765106,1,0.688,1
"KLF5",0.0304561032177411,1.00050173345884,1,0.688,1
"ELF1",0.0307158701351078,0.971560319821938,1,0.812,1
"MORN3",0.0307158701351078,1.61449160812219,1,0.812,1
"TMEM63B",0.0307158701351078,1.41867510359516,1,0.812,1
"KCNE4",0.0307776624243778,1.52802431522484,1,0.938,1
"RXRA",0.0307776624243778,0.355527314252408,1,0.938,1
"BNIP2",0.0307776624243778,0.742560430736615,1,1,1
"CRCP",0.0307776624243778,0.974196725632743,1,1,1
"GIPC1",0.0307776624243778,0.752920099695817,1,1,1
"ISCA1",0.0307776624243778,0.795820331816628,1,1,1
"TMEM167B",0.0307776624243778,1.24616471641747,1,1,1
"TPD52L1",0.0307776624243778,0.997446464538216,1,1,1
"IFT27",0.0309121668955683,1.52477358001717,0.786,0.375,1
"AGR2",0.0309121668955683,1.69872144578125,0.714,0.438,1
"RSAD1",0.031161233968499,1.22632284336707,0.929,0.688,1
"CCDC138",0.031279248576606,1.06027050794344,0.929,0.938,1
"FEM1C",0.031279248576606,1.10854891100514,0.929,0.938,1
"EIF4EBP3",0.0313817222795552,0.625601366125594,0.857,0.375,1
"TMEM177",0.0320571327683252,1.83601458753085,0.714,0.375,1
"PICK1",0.032145757186766,1.24885526528125,0.786,0.562,1
"NAP1L5",0.0322816369592982,2.74899053338198,0.571,0.312,1
"MUC20",0.0331167749458603,2.50563101070161,0.5,0.188,1
"TRMT11",0.0333451024745626,1.03576008413028,1,0.562,1
"ITPR1",0.033647063637084,2.23404904990506,0.786,0.438,1
"NEBL",0.033647063637084,2.49746818473532,0.786,0.438,1
"AXIN2",0.033744187417815,0.874464637590379,0.714,0.25,1
"GPCPD1",0.0337921579286036,1.16498891110153,1,0.875,1
"H1-10",0.0337921579286036,0.437147558247856,1,0.875,1
"KIF3A",0.0337921579286036,1.12217992648504,1,0.875,1
"ZBTB41",0.0337921579286036,1.13772418739214,1,0.875,1
"NFIL3",0.0338386018549033,1.85235065530435,0.786,0.5,1
"LYZ",0.0338386018549033,1.76692782636361,0.714,0.562,1
"LZTS2",0.0340058935100733,1.06808584708371,1,0.688,1
"ETNK2",0.0340058935100733,1.30199908478199,0.929,0.75,1
"TGFBRAP1",0.0340058935100733,1.49818697396712,0.929,0.75,1
"UBQLN2",0.0340058935100733,1.24331638489322,0.929,0.75,1
"CCDC120",0.034289590670781,1.75405231310817,1,0.812,1
"POLB",0.034289590670781,1.21182745268983,0.929,0.875,1
"GSTO2",0.0343565953521347,1.0282882764018,1,0.938,1
"ACAP2",0.0343565953521347,0.988941053100017,1,1,1
"APPBP2",0.0343565953521347,0.94552565414079,1,1,1
"EIF2A",0.0343565953521347,0.719839242725845,1,1,1
"HOMER2",0.0343565953521347,2.45493332231057,1,1,1
"IL6ST",0.0343565953521347,1.14867326612351,1,1,1
