"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0.0218437599225843,1.40771864132553,0.929,1,1,"PCYT1A"
0.0218437599225843,0.847893939624607,1,0.938,1,"CXorf38"
0.0218437599225843,0.347340279306496,1,1,1,"CHMP3"
0.0218437599225843,1.84773591527448,1,1,1,"CREBRF"
0.0218437599225843,-0.840464023254927,1,1,1,"DNMT1"
0.0218437599225843,-0.657664186442315,1,1,1,"NDUFA12"
0.0218437599225843,1.02108779360914,1,1,1,"SAMHD1"
0.0218437599225843,1.04715106569046,1,1,1,"STOM"
0.0218437599225843,-1.0349593193166,1,1,1,"SURF6"
0.0218437599225843,0.5293538868562,1,1,1,"TAF7"
0.0218437599225843,-1.10176091249083,1,1,1,"WDR73"
0.0221388445783981,0.522427753051222,0.857,0.375,1,"ZNF57"
0.0221390783796294,0.643978562357706,0.929,0.688,1,"DCUN1D3"
0.0221870351374016,0.440716698539599,0.714,0.188,1,"SLC10A7"
0.0221870351374016,2.14671748426004,0.643,0.25,1,"HOXB5"
0.0224136435394274,-1.8586193212718,0.929,0.812,1,"MT2A"
0.0227291789261888,2.21692922583951,0.857,0.625,1,"RNF144B"
0.0238120912024193,0.961655269765185,0.714,0.25,1,"CIDEB"
0.0238120912024193,3.11499754121682,0.714,0.25,1,"RAB27B"
0.0239880059970015,-2.46591578892394,0.071,0.5,1,"ETV2"
0.0240346287124751,1.47828312515297,0.786,0.5,1,"RELL2"
0.0240346287124751,2.11724452128045,0.786,0.5,1,"SEC31B"
0.0241493701033908,1.35239677836283,1,0.875,1,"DGLUCY"
0.0241879060469767,4.23044888915791,0.429,0.125,1,"DUSP2"
0.0242743574892985,2.19887368440421,0.929,0.75,1,"ANK3"
0.0242838745745806,2.56977432916348,0.857,0.5,1,"TRIM3"
0.0244909674505713,1.01021004758549,1,0.812,1,"MCM2"
0.0244909674505713,0.904181975592086,1,0.812,1,"TMEM62"
0.0245009658913236,4.76855587301512,0.643,0.5,1,"PTPN13"
0.0245420186363647,-0.611341516946798,0.929,1,1,"PIGQ"
0.0245420186363647,-0.741036818721012,0.929,1,1,"RPA2"
0.0245420186363647,-0.76224465267783,0.929,1,1,"SUCLG2"
0.0245420186363647,0.637466342343513,1,0.938,1,"CHMP1B"
0.0245420186363647,0.903693843704662,1,1,1,"AP3D1"
0.0245420186363647,0.71790752358023,1,1,1,"BROX"
0.0245420186363647,0.523077269013895,1,1,1,"CCT8"
0.0245420186363647,-0.791882324376127,1,1,1,"EFTUD2"
0.0245420186363647,-0.896918373394996,1,1,1,"LYRM4"
0.0245420186363647,-0.550607616909383,1,1,1,"MAPRE1"
0.0245420186363647,0.5524319216896,1,1,1,"MYNN"
0.0245420186363647,1.55043650103,1,1,1,"NAMPT"
0.0245420186363647,0.651002693928795,1,1,1,"NIBAN1"
0.0245420186363647,-1.04581814032809,1,1,1,"PARP6"
0.0245420186363647,-1.13914690336367,1,1,1,"PNRC2"
0.0245420186363647,0.871187275538658,1,1,1,"TIMM10B"
0.0248655445239221,1.33072586992168,0.929,0.688,1,"ARHGAP45"
0.02493466716934,1.01599559034834,0.929,0.938,1,"C1orf198"
0.0252442199952652,2.80696774830734,0.643,0.25,1,"MAML3"
0.0255542129176196,2.88347556441298,0.643,0.312,1,"PTGFRN"
0.0256434149626255,1.18137675791165,0.929,0.5,1,"PAIP2B"
0.0256434149626255,1.65874619965212,0.857,0.562,1,"NOP9"
0.0256434149626255,0.715263549633611,0.857,0.562,1,"SMCR8"
0.0256434149626255,1.56986825230178,0.857,0.562,1,"ZNF836"
0.0259294913946535,-1.16637919365546,0.357,0.812,1,"CDC25C"
0.0261498834346181,1.58558550692079,1,0.625,1,"ATP9A"
0.0261498834346181,1.02450879934965,1,0.625,1,"LMAN2L"
0.0261498834346181,1.76124647751156,0.857,0.75,1,"ZNF337"
0.0266115858479432,0.807791009002172,1,0.75,1,"ALG6"
0.0266115858479432,1.02531737495643,1,0.75,1,"COQ8A"
0.0266115858479432,1.28157054841953,0.857,0.875,1,"TEAD3"
0.0266612892384215,0.383451174169032,0.929,0.625,1,"UBR3"
0.0266612892384215,1.92434029647137,0.857,0.688,1,"CES4A"
0.0269280839456432,1.6684201700704,0.929,0.562,1,"SYNJ1"
0.0269731800766284,-2.9152011244398,0,0.375,1,"SRRM5"
0.0269994345792355,1.39713970082193,0.857,0.438,1,"RARA"
0.0270681721402808,2.13775506481715,1,0.875,1,"COL27A1"
0.0270681721402808,0.863022332526773,1,0.875,1,"F11R"
0.0270681721402808,1.01651029240961,1,0.875,1,"NEK6"
0.0270681721402808,0.943013149307931,1,0.875,1,"UBFD1"
0.0271685966442303,-1.29651563635061,0.786,0.875,1,"DPH2"
0.0271885110076544,2.83050589282924,0.571,0.25,1,"C11orf52"
0.0272192764986621,0.865622479559966,1,0.688,1,"TICAM1"
0.0272192764986621,2.48169894794658,0.929,0.75,1,"GDPD1"
0.0272422027720229,1.62309366970052,0.857,0.5,1,"CCDC149"
0.0272422027720229,1.82276741256953,0.857,0.5,1,"LDOC1"
0.0274570248415524,1.24487253777697,1,0.812,1,"CPEB4"
0.0274570248415524,1.04140475829817,1,0.812,1,"MMUT"
